DS1921:  8034C000003E6421
Download at: 7/27/2004 3:44:36 PM

Mission State
-------------
Mission is in progress
Sample rate: 10 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  07/18/2004  15:07 
Mission Start delay: 0 minute(s)
Mission Samples: 1300
Device total samples: 64429
Temperatures displayed in: (Celsius)
High Threshold: 85.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Tuesday  07/27/2004  15:44:58 
Current PC Time: Tuesday  07/27/2004  15:46:03 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)


Format: [Time/Date , Temperature] (Celsius)
 07/21/2004  20:27 , 49.0°C
 07/21/2004  20:37 , 49.0°C
 07/21/2004  20:47 , 49.0°C
 07/21/2004  20:57 , 48.5°C
 07/21/2004  21:07 , 48.0°C
 07/21/2004  21:17 , 48.5°C
 07/21/2004  21:27 , 48.5°C
 07/21/2004  21:37 , 49.5°C
 07/21/2004  21:47 , 49.0°C
 07/21/2004  21:57 , 48.5°C
 07/21/2004  22:07 , 48.5°C
 07/21/2004  22:17 , 49.0°C
 07/21/2004  22:27 , 48.5°C
 07/21/2004  22:37 , 48.0°C
 07/21/2004  22:47 , 48.0°C
 07/21/2004  22:57 , 49.0°C
 07/21/2004  23:07 , 49.0°C
 07/21/2004  23:17 , 49.0°C
 07/21/2004  23:27 , 49.0°C
 07/21/2004  23:37 , 49.0°C
 07/21/2004  23:47 , 49.5°C
 07/21/2004  23:57 , 49.0°C
 07/22/2004  00:07 , 49.0°C
 07/22/2004  00:17 , 49.0°C
 07/22/2004  00:27 , 49.0°C
 07/22/2004  00:37 , 48.5°C
 07/22/2004  00:47 , 48.5°C
 07/22/2004  00:57 , 48.5°C
 07/22/2004  01:07 , 48.5°C
 07/22/2004  01:17 , 48.5°C
 07/22/2004  01:27 , 49.0°C
 07/22/2004  01:37 , 48.5°C
 07/22/2004  01:47 , 48.5°C
 07/22/2004  01:57 , 48.5°C
 07/22/2004  02:07 , 48.5°C
 07/22/2004  02:17 , 48.5°C
 07/22/2004  02:27 , 48.5°C
 07/22/2004  02:37 , 48.0°C
 07/22/2004  02:47 , 48.0°C
 07/22/2004  02:57 , 48.5°C
 07/22/2004  03:07 , 48.5°C
 07/22/2004  03:17 , 48.5°C
 07/22/2004  03:27 , 48.5°C
