Plate,Name,Row,Column,Micro g N,Delta Air,Micro g C,Delta PDB
2007-bxm,H10,H,10,113.0,12.41,420.9,-16.02
2007-bxm,H11,H,11,137.2,13.08,491.7,-16.47
2007-bxm,H12,H,12,107.3,13.00,388.6,-16.46
2007-bxm,CHECK,Z,29,101.2,1.31,401.7,-24.42
2007-bxm,CHECK,Z,29,101.1,1.28,389.2,-24.48
2007-cqf,CHECK,Z,29,102.1,1.40,391.6,-24.46
2007-cqf,CHECK,Z,29,101.9,1.39,385.5,-24.47
2007-cqf,Novak 2007-cqf a1,A,1,112.8,12.93,407.6,-16.70
2007-cqf,tray 3of3 a2,A,2,112.7,12.47,399.6,-15.95
2007-cqf,a3,A,3,108.4,12.87,376.8,-14.60
2007-cqf,a4,A,4,144.5,13.05,507.8,-16.03
2007-cqf,a5,A,5,129.6,11.73,454.6,-14.66
2007-cqf,a6,A,6,142.8,11.91,496.5,-14.04
2007-cqf,a7,A,7,150.3,11.38,523.6,-14.34
2007-cqf,a8,A,8,132.1,11.42,461.3,-14.39
2007-cqf,a9,A,9,125.7,11.31,441.7,-14.79
2007-cqf,a10,A,10,128.6,11.30,445.4,-13.74
2007-cqf,a11,A,11,125.9,11.20,434.3,-14.43
2007-cqf,a12,A,12,126.5,11.09,434.1,-13.91
2007-cqf,check,Z,30,100.8,1.23,385.0,-24.49
2007-cqf,check13,Z,30,100.6,1.22,395.7,-24.37
2007-cqf,CHECK42,Z,30,100.8,1.32,392.5,-24.42
2007-cqf,CHECK,Z,30,103.2,1.32,395.4,-24.49
2007-cqf,B1,B,1,141.8,10.83,490.4,-14.47
2007-cqf,B2,B,2,118.7,11.06,416.3,-14.39
2007-cqf,B3,B,3,128.6,10.89,443.4,-13.94
2007-cqf,B4,B,4,106.5,11.45,371.1,-14.67
2007-cqf,B5,B,5,119.1,11.26,417.7,-14.52
2007-cqf,B6,B,6,103.5,10.67,362.4,-13.99
2007-cqf,B7,B,7,131.7,10.77,456.7,-14.37
2007-cqf,B8,B,8,110.5,10.86,388.0,-13.87
2007-cqf,B9,B,9,150.8,11.77,527.3,-14.92
2007-cqf,B10,B,10,150.4,11.62,527.0,-14.74
2007-cqf,B11,B,11,126.3,11.97,438.7,-14.80
2007-cqf,B12,B,12,141.9,11.44,498.1,-14.62
2007-cqf,CHECK,Z,31,99.1,1.36,387.1,-24.64
2007-cqf,CHECK,Z,31,100.3,1.31,392.5,-24.41
2007-cqf,C1,C,1,120.6,11.44,423.0,-15.08
2007-cqf,C2,C,2,141.0,12.09,490.8,-15.37
2007-cqf,C3,C,3,103.0,11.73,361.7,-15.02
2007-cqf,C4,C,4,131.6,11.35,459.3,-14.82
2007-cqf,C5,C,5,105.1,11.58,370.5,-14.79
2007-cqf,C6,C,6,127.7,11.59,445.1,-14.84
2007-cqf,C7,C,7,124.6,11.20,444.9,-14.64
2007-cqf,C8,C,8,111.9,10.75,402.6,-15.26
2007-cqf,C9,C,9,101.3,10.98,360.0,-15.41
2007-cqf,C10,C,10,136.1,10.82,480.6,-15.56
2007-cqf,C11,C,11,126.4,10.83,451.4,-14.93
2007-cqf,C12,C,12,95.8,11.29,357.0,-16.29
2007-drg,CHECK100,Z,32,98.8,1.18,356.3,-24.45
