x Vial present ( - put aside),Combined with other samples, Foil ID , Site , Date Collected , Species , Individ , Height/ Length/ Carapace width , Width/ Dactyl length , Aperture diameter , Wet weight w/ Shell , Shell weight , Tissue w/ operc weight/ Plates w/ mantle , Operculum/ Mantle weight , Wet sample weight , Oven Start Date & Time  , Time spent in Freezer (days) , Oven End Date & Time , Time spent in Oven (days) , Notes 
x,Canth2,170,Tauranga Head,7/2/2004,Cantharidella tesselata,1,4.9,5.4,3.4,0.082,0.050,*,*,0.003,7/21/2004 16:02,19.7,7/27/2004 14:40,5.9,
x,Canth1,169,Tauranga Head,7/2/2004,Cantharidella tesselata,2,6.2,5.5,3.6,0.130,0.090,*,*,0.005,7/21/2004 16:08,19.7,7/27/2004 15:01,6.0,
x,Canth1,168,Tauranga Head,7/2/2004,Cantharidella tesselata,3,6.1,6.1,3.8,0.131,0.084,*,*,0.004,7/21/2004 16:13,19.7,7/27/2004 15:01,6.0
x,Canth1,167,Tauranga Head,7/2/2004,Cantharidella tesselata,4,5.7,5.6,3.6,0.110,0.074,*,*,0.006,7/21/2004 16:17,19.7,7/27/2004 13:55,5.9
x,Canth1,166,Tauranga Head,7/2/2004,Cantharidella tesselata,5,6.5,6.2,4.3,0.143,0.090,*,*,0.005,7/21/2004 16:23,19.7,7/27/2004 13:40,5.9
x,Canth3,175,Tauranga Head,7/2/2004,Cantharidella tesselata,6,6.4,6.5,4.3,0.161,0.104,*,*,0.010,7/21/2004 16:34,19.7,7/27/2004 14:12,5.9
x,Canth2,174,Tauranga Head,7/2/2004,Cantharidella tesselata,7,5.8,5.8,3.9,0.110,0.077,*,*,0.007,7/21/2004 16:38,19.7,7/27/2004 14:25,5.9
x,Canth2,173,Tauranga Head,7/2/2004,Cantharidella tesselata,8,6.1,5.7,4.0,0.130,0.087,*,*,0.007,7/21/2004 16:43,19.7,7/27/2004 14:53,5.9
x,Canth2,172,Tauranga Head,7/2/2004,Cantharidella tesselata,9,6.6,6.1,3.8,0.142,0.095,*,*,0.006,7/21/2004 16:50,19.7,7/27/2004 13:40,5.9
x,Canth2,171,Tauranga Head,7/2/2004,Cantharidella tesselata,10,5.4,5.8,3.6,0.092,0.059,*,*,0.007,7/21/2004 16:54,19.7,7/27/2004 14:53,5.9
x,Canth1,165,Tauranga Head,7/2/2004,Cantharidella tesselata,11,5.6,5.6,4.0,0.103,0.071,*,*,0.004,7/21/2004 19:38,19.8,7/27/2004 14:53,5.8
x,Canth4,182,Tauranga Head,7/2/2004,Cantharidella tesselata,12,4.7,4.8,3.3,0.070,0.047,*,*,0.005,7/21/2004 19:45,19.8,7/27/2004 14:47,5.8
x,Canth3,181,Tauranga Head,7/2/2004,Cantharidella tesselata,13,5.7,5.4,3.7,0.092,0.059,*,*,0.006,7/21/2004 19:50,19.8,7/27/2004 14:47,5.8
x,Canth3,176,Tauranga Head,7/2/2004,Cantharidella tesselata,14,5.2,5.8,3.5,0.092,0.063,*,*,0.005,7/21/2004 19:54,19.8,7/27/2004 14:47,5.8
x,Canth3,178,Tauranga Head,7/2/2004,Cantharidella tesselata,15,5.5,5.8,3.7,0.105,0.063,*,*,0.007,7/21/2004 19:59,19.8,7/27/2004 14:47,5.8
x,Canth5,210,Tauranga Head,7/2/2004,Cantharidella tesselata,16,4.7,4.8,2.8,0.054,0.031,*,*,0.006,7/21/2004 20:14,19.8,7/27/2004 14:47,5.8
x,Canth3,177,Tauranga Head,7/2/2004,Cantharidella tesselata,17,5.6,5.3,3.6,0.090,0.057,*,*,0.004,7/21/2004 20:18,19.8,7/27/2004 14:47,5.8
x,Canth4,186,Tauranga Head,7/2/2004,Cantharidella tesselata,18,5.5,6.0,3.8,0.103,0.061,*,*,0.004,7/21/2004 20:23,19.8,7/27/2004 14:40,5.8
x,Canth4,187,Tauranga Head,7/2/2004,Cantharidella tesselata,19,6.1,6.6,3.8,0.128,0.080,*,*,0.010,7/21/2004 20:27,19.9,7/27/2004 14:47,5.8
x,Canth4,188,Tauranga Head,7/2/2004,Cantharidella tesselata,20,5.6,5.8,3.5,0.094,0.064,*,*,0.005,7/21/2004 20:31,19.9,7/27/2004 14:47,5.8
x,Canth5,208,Tauranga Head,7/2/2004,Cantharidella tesselata,21,5.3,5.7,3.3,0.088,0.059,*,*,0.009,7/21/2004 20:48,19.9,7/27/2004 14:40,5.7
x,Canth5,209,Tauranga Head,7/2/2004,Cantharidella tesselata,22,5.4,6.2,4.0,0.096,0.058,*,*,0.007,7/21/2004 20:53,19.9,7/27/2004 14:40,5.7
x,Canth5,207,Tauranga Head,7/2/2004,Cantharidella tesselata,23,5.6,5.9,4.8,0.098,0.057,*,*,0.005,7/21/2004 20:59,19.9,7/27/2004 14:47,5.7
x,Canth5,206,Tauranga Head,7/2/2004,Cantharidella tesselata,24,4.5,5.8,3.7,0.074,0.044,*,*,0.007,7/21/2004 21:03,19.9,7/27/2004 14:40,5.7
x,Canth4,205,Tauranga Head,7/2/2004,Cantharidella tesselata,25,4.8,5.7,3.6,0.075,0.045,*,*,0.008,7/21/2004 21:08,19.9,7/27/2004 14:40,5.7
x,,87,Tauranga Head,7/2/2004,Cellana ornata,1,18.2,13.8,*,0.768,0.365,*,*,0.164,7/18/2004 17:30,16.7,7/27/2004 14:18,8.9
