Predators.SpeciesName,PredSize,PreySize,IndexSpecies.SpeciesName,Site,FocusSite
Haustrum haustorium,37,15,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,40,12,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,32,11,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,28,13,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,32,9,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,32,11,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,32,8,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,37,24,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,32,8,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,36,12,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,32,8,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,43,14,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,52,13,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,38,24,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,38,20,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,29,10,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,29,9,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,38,14,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,40,22,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,36,22,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,33,17,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,25,10,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,26,10,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,26,12,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,36,13,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,31,14,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,41,17,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,40,18,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,45,19,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,28,13,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,36,16,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,33,16,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,29,11,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,30,12,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,37,17,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,36,11,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,33,10,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,33,10,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,39,12,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,28,13,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,25,12,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,40,16,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,29,11,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,42,20,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,33,15,Cellana ornata,OkahuPoint,TRUE
Haustrum haustorium,35,14,Cellana ornata,OkahuPoint,TRUE
