Site,SpeciesName,PredSize
LighthouseReef,Haustrum scobina,14
LighthouseReef,Haustrum scobina,14
LighthouseReef,Haustrum scobina,14
LighthouseReef,Haustrum scobina,15
LighthouseReef,Haustrum scobina,13
LighthouseReef,Haustrum scobina,16
LighthouseReef,Haustrum scobina,16
LighthouseReef,Haustrum scobina,14
LighthouseReef,Haustrum scobina,14
LighthouseReef,Haustrum scobina,14
LighthouseReef,Haustrum scobina,16
LighthouseReef,Haustrum scobina,12
LighthouseReef,Haustrum scobina,14
LighthouseReef,Haustrum scobina,13
LighthouseReef,Haustrum scobina,13
LighthouseReef,Haustrum scobina,16
LighthouseReef,Haustrum scobina,15
LighthouseReef,Haustrum scobina,12
LighthouseReef,Haustrum scobina,12
LighthouseReef,Haustrum scobina,11
LighthouseReef,Haustrum scobina,16
LighthouseReef,Haustrum scobina,14
LighthouseReef,Haustrum scobina,13
LighthouseReef,Haustrum scobina,14
LighthouseReef,Haustrum haustorium,25
LighthouseReef,Haustrum haustorium,48
LighthouseReef,Haustrum scobina,13
LighthouseReef,Haustrum scobina,13
LighthouseReef,Haustrum scobina,14
LighthouseReef,Haustrum scobina,14
LighthouseReef,Haustrum scobina,16
LighthouseReef,Haustrum scobina,17
LighthouseReef,Haustrum scobina,17
LighthouseReef,Haustrum scobina,12
LighthouseReef,Haustrum scobina,10
LighthouseReef,Haustrum scobina,16
LighthouseReef,Haustrum scobina,13
LighthouseReef,Haustrum scobina,11
LighthouseReef,Haustrum scobina,12
LighthouseReef,Haustrum scobina,12
LighthouseReef,Haustrum scobina,13
LighthouseReef,Haustrum scobina,13
LighthouseReef,Haustrum scobina,15
LighthouseReef,Haustrum haustorium,20
LighthouseReef,Haustrum haustorium,58
LighthouseReef,Haustrum haustorium,28
LighthouseReef,Haustrum haustorium,34
OaroSouth,Haustrum haustorium,29
OaroSouth,Haustrum haustorium,18
OaroSouth,Haustrum haustorium,34
OaroSouth,Haustrum scobina,14
OaroSouth,Haustrum scobina,14
OaroSouth,Haustrum scobina,14
OaroSouth,Haustrum scobina,14
OaroSouth,Haustrum haustorium,25
OaroSouth,Haustrum haustorium,54
OaroSouth,Haustrum haustorium,49
OaroSouth,Haustrum haustorium,43
OaroSouth,Haustrum haustorium,13
OaroSouth,Haustrum haustorium,13
OaroSouth,Haustrum haustorium,13
OaroSouth,Haustrum haustorium,38
OaroSouth,Haustrum haustorium,15
OaroSouth,Haustrum haustorium,30
OaroSouth,Haustrum haustorium,44
OaroSouth,Haustrum haustorium,26
OaroSouth,Haustrum haustorium,24
OaroSouth,Haustrum haustorium,44
OaroSouth,Haustrum haustorium,22
OaroSouth,Haustrum haustorium,30
OaroSouth,Haustrum haustorium,27
OaroSouth,Haustrum haustorium,31
OaroSouth,Haustrum haustorium,21
OaroSouth,Haustrum haustorium,45
OaroSouth,Haustrum haustorium,32
OaroSouth,Haustrum haustorium,28
OaroSouth,Haustrum haustorium,18
OaroSouth,Haustrum haustorium,33
OaroSouth,Haustrum haustorium,19
OaroSouth,Haustrum haustorium,40
OaroSouth,Haustrum haustorium,41
OaroSouth,Haustrum haustorium,46
OaroSouth,Haustrum haustorium,54
OaroSouth,Haustrum haustorium,31
OaroSouth,Haustrum haustorium,49
OaroSouth,Haustrum haustorium,49
OaroSouth,Haustrum haustorium,37
OaroSouth,Haustrum haustorium,20
OaroSouth,Haustrum haustorium,44
OaroSouth,Haustrum haustorium,44
OaroSouth,Haustrum haustorium,12
OaroSouth,Haustrum haustorium,16
OaroSouth,Haustrum haustorium,12
OaroSouth,Haustrum haustorium,9
OaroSouth,Haustrum haustorium,14
OaroSouth,Haustrum haustorium,50
OaroSouth,Haustrum haustorium,10
OaroSouth,Haustrum haustorium,12
OaroSouth,Haustrum haustorium,15
OaroSouth,Haustrum haustorium,48
OaroSouth,Haustrum haustorium,40
OaroSouth,Haustrum haustorium,27
OaroSouth,Haustrum haustorium,34
OaroSouth,Haustrum haustorium,31
OaroSouth,Haustrum haustorium,17
OaroSouth,Haustrum haustorium,15
OaroSouth,Haustrum haustorium,14
OaroSouth,Haustrum haustorium,30
OaroSouth,Haustrum scobina,14
OaroSouth,Haustrum scobina,12
OaroSouth,Haustrum haustorium,24
OaroSouth,Haustrum haustorium,15
OaroSouth,Haustrum scobina,11
OaroSouth,Haustrum scobina,9
OaroSouth,Haustrum scobina,14
OaroSouth,Haustrum scobina,13
OaroSouth,Haustrum scobina,9
OaroSouth,Haustrum scobina,11
OaroMid,Haustrum haustorium,48
OtumatuRock,Haustrum haustorium,47
OtumatuRock,Haustrum haustorium,42
OtumatuRock,Haustrum haustorium,37
OtumatuRock,Haustrum haustorium,39
OtumatuRock,Haustrum haustorium,33
OtumatuRock,Haustrum haustorium,29
OtumatuRock,Haustrum haustorium,30
OtumatuRock,Haustrum haustorium,26
OtumatuRock,Haustrum haustorium,30
FirstBay,Haustrum haustorium,52
FirstBay,Haustrum haustorium,50
FirstBay,Haustrum haustorium,24
FirstBay,Haustrum haustorium,41
FirstBay,Haustrum haustorium,32
FirstBay,Haustrum haustorium,38
FirstBay,Haustrum haustorium,22
FirstBay,Haustrum haustorium,35
FirstBay,Haustrum haustorium,53
FirstBay,Haustrum haustorium,35
FirstBay,Haustrum haustorium,40
FirstBay,Haustrum haustorium,44
FirstBay,Haustrum haustorium,44
FirstBay,Haustrum haustorium,21
FirstBay,Haustrum haustorium,29
FirstBay,Haustrum haustorium,45
FirstBay,Haustrum haustorium,49
FirstBay,Haustrum haustorium,27
FirstBay,Haustrum haustorium,31
FirstBay,Haustrum haustorium,44
FirstBay,Haustrum haustorium,26
FirstBay,Haustrum haustorium,31
FirstBay,Haustrum haustorium,45
FirstBay,Haustrum haustorium,31
FirstBay,Haustrum haustorium,15
FirstBay,Haustrum haustorium,23
FirstBay,Haustrum haustorium,35
FirstBay,Haustrum scobina,11
FirstBay,Haustrum scobina,11
FirstBay,Haustrum scobina,15
FirstBay,Haustrum scobina,15
FirstBay,Haustrum scobina,12
FirstBay,Haustrum scobina,12
FirstBay,Haustrum scobina,13
FirstBay,Haustrum scobina,15
FirstBay,Haustrum haustorium,39
FirstBay,Haustrum haustorium,39
FirstBay,Haustrum haustorium,50
FirstBay,Haustrum haustorium,50
FirstBay,Haustrum haustorium,18
FirstBay,Haustrum haustorium,35
FirstBay,Haustrum haustorium,23
FirstBay,Haustrum haustorium,28
FirstBay,Haustrum haustorium,40
FirstBay,Haustrum haustorium,23
FirstBay,Haustrum haustorium,31
FirstBay,Haustrum haustorium,28
FirstBay,Haustrum haustorium,52
FirstBay,Haustrum haustorium,12
FirstBay,Haustrum haustorium,28
FirstBay,Haustrum haustorium,33
FirstBay,Haustrum haustorium,53
FirstBay,Haustrum haustorium,28
FirstBay,Haustrum haustorium,40
FirstBay,Haustrum haustorium,32
FirstBay,Haustrum haustorium,32
FirstBay,Haustrum haustorium,30
FirstBay,Haustrum haustorium,33
FirstBay,Haustrum haustorium,38
FirstBay,Haustrum haustorium,48
FirstBay,Haustrum haustorium,40
FirstBay,Haustrum haustorium,39
FirstBay,Haustrum haustorium,32
FirstBay,Haustrum haustorium,37
FirstBay,Haustrum haustorium,42
FirstBay,Haustrum haustorium,37
FirstBay,Haustrum haustorium,47
FirstBay,Haustrum haustorium,46
FirstBay,Haustrum haustorium,38
FirstBay,Haustrum scobina,9
FirstBay,Haustrum scobina,13
FirstBay,Haustrum scobina,13
FirstBay,Haustrum scobina,12
FirstBay,Haustrum scobina,12
FirstBay,Haustrum haustorium,30
FirstBay,Haustrum haustorium,36
FirstBay,Haustrum haustorium,37
FirstBay,Haustrum haustorium,46
FirstBay,Haustrum haustorium,23
FirstBay,Haustrum haustorium,26
FirstBay,Haustrum haustorium,28
FirstBay,Haustrum haustorium,43
FirstBay,Haustrum haustorium,46
FirstBay,Haustrum haustorium,43
FirstBay,Haustrum haustorium,53
LighthouseReef,Haustrum haustorium,47
LighthouseReef,Haustrum haustorium,29
LighthouseReef,Haustrum haustorium,41
LighthouseReef,Haustrum haustorium,23
LighthouseReef,Haustrum haustorium,32
LighthouseReef,Haustrum haustorium,20
BlueDuck,Haustrum scobina,23
BlueDuck,Haustrum scobina,11
BlueDuck,Haustrum scobina,20
BlueDuck,Haustrum scobina,19
BlueDuck,Haustrum scobina,18
BlueDuck,Haustrum scobina,18
BlueDuck,Haustrum scobina,8
BlueDuck,Haustrum scobina,20
BlueDuck,Haustrum scobina,19
BlueDuck,Haustrum scobina,18
BlueDuck,Haustrum scobina,9
BlueDuck,Haustrum scobina,11
BlueDuck,Haustrum scobina,12
BlueDuck,Haustrum scobina,13
BlueDuck,Haustrum scobina,23
BlueDuck,Haustrum scobina,10
BlueDuck,Haustrum scobina,17
BlueDuck,Haustrum scobina,19
BlueDuck,Haustrum scobina,20
BlueDuck,Haustrum scobina,9
BlueDuck,Haustrum scobina,10
BlueDuck,Haustrum scobina,11
