CensusID,Site,TimeStart,TimeEnd,Expr1,SpeciesName
788,TaurangaHead,12:39,13:27,48,Haustrum scobina
516,PaiaPoint,14:21,15:09,48,Haustrum haustorium
514,PaiaPoint,13:29,14:17,48,Haustrum haustorium
665,OkahuPoint,21:58,22:46,48,Buccinulum sp
514,PaiaPoint,13:29,14:17,48,Cominella maculosa
746,OkahuPoint,19:51,20:38,47,Haustrum haustorium
746,OkahuPoint,19:51,20:38,47,Buccinulum sp
350,PaiaPoint,9:11,9:58,47,Haustrum scobina
332,TaurangaHead,17:55,18:42,47,Haustrum scobina
609,Rakautara,13:16,14:03,47,Haustrum haustorium
799,OkahuPoint,15:24,16:11,47,Haustrum haustorium
577,CapeFoulwind,14:00,14:47,47,Haustrum haustorium
655,JacksonHead,17:21,18:08,47,Haustrum haustorium
577,CapeFoulwind,14:00,14:47,47,Cominella maculosa
633,PaiaPoint,8:30,9:17,47,Haustrum scobina
577,CapeFoulwind,14:00,14:47,47,Buccinulum sp
776,Rakautara,18:37,19:24,47,Haustrum haustorium
776,Rakautara,18:37,19:24,47,Haustrum lacunosus
577,CapeFoulwind,14:00,14:47,47,Paratrophon patens
644,Rakautara,11:27,12:14,47,Buccinulum sp
644,Rakautara,11:27,12:14,47,Haustrum haustorium
644,Rakautara,11:27,12:14,47,Dicathais orbita
674,OkahuPoint,9:43,10:29,46,Haustrum lacunosus
539,OkahuPoint,16:13,16:59,46,Haustrum scobina
356,PaiaPoint,11:52,12:38,46,Haustrum scobina
373,CapeFoulwind,16:43,17:29,46,Buccinulum sp
452,CapeFoulwind,20:13,20:59,46,Haustrum haustorium
578,CapeFoulwind,14:53,15:39,46,Paratrophon patens
674,OkahuPoint,9:43,10:29,46,Haustrum haustorium
518,Rakautara,14:06,14:52,46,Dicathais orbita
458,TaurangaHead,10:15,11:01,46,Haustrum scobina
452,CapeFoulwind,20:13,20:59,46,Buccinulum sp
343,TaurangaHead,9:17,10:03,46,Haustrum haustorium
343,TaurangaHead,9:17,10:03,46,Paratrophon patens
373,CapeFoulwind,16:43,17:29,46,Paratrophon patens
427,PaiaPoint,10:32,11:18,46,Haustrum lacunosus
556,JacksonHead,20:56,21:42,46,Haustrum haustorium
578,CapeFoulwind,14:53,15:39,46,Haustrum haustorium
427,PaiaPoint,10:32,11:18,46,Haustrum haustorium
427,PaiaPoint,10:32,11:18,46,Buccinulum sp
518,Rakautara,14:06,14:52,46,Haustrum haustorium
373,CapeFoulwind,16:43,17:29,46,Haustrum haustorium
452,CapeFoulwind,20:13,20:59,46,Paratrophon patens
668,JacksonHead,19:20,20:06,46,Haustrum haustorium
760,OkahuPoint,20:03,20:48,45,Haustrum haustorium
575,CapeFoulwind,12:00,12:45,45,Haustrum scobina
611,Rakautara,13:35,14:20,45,Dicathais orbita
779,PaiaPoint,19:22,20:07,45,Cominella maculosa
611,Rakautara,13:35,14:20,45,Haustrum lacunosus
800,JacksonHead,12:48,13:33,45,Haustrum scobina
533,OkahuPoint,17:45,18:30,45,Haustrum scobina
779,PaiaPoint,19:22,20:07,45,Haustrum haustorium
611,Rakautara,13:35,14:20,45,Haustrum haustorium
796,OkahuPoint,12:12,12:57,45,Haustrum scobina
348,PaiaPoint,7:46,8:30,44,Haustrum lacunosus
651,JacksonHead,6:16,7:00,44,Haustrum scobina
348,PaiaPoint,7:46,8:30,44,Haustrum haustorium
481,Rakautara,20:10,20:54,44,Haustrum haustorium
752,OkahuPoint,19:01,19:45,44,Haustrum scobina
813,PaiaPoint,14:10,14:54,44,Haustrum haustorium
661,OkahuPoint,5:38,6:21,43,Haustrum scobina
336,CapeFoulwind,8:52,9:35,43,Haustrum scobina
824,PaiaPoint,15:29,16:12,43,Haustrum scobina
801,JacksonHead,13:39,14:22,43,Haustrum scobina
495,PaiaPoint,20:10,20:53,43,Haustrum haustorium
566,JacksonHead,8:09,8:52,43,Haustrum haustorium
750,OkahuPoint,17:47,18:29,42,Haustrum scobina
428,PaiaPoint,11:18,12:00,42,Haustrum haustorium
493,PaiaPoint,18:30,19:12,42,Haustrum scobina
410,PaiaPoint,9:40,10:22,42,Haustrum haustorium
815,Rakautara,14:38,15:20,42,Haustrum haustorium
811,Rakautara,13:10,13:52,42,Haustrum haustorium
469,CapeFoulwind,8:23,9:04,41,Paratrophon patens
467,CapeFoulwind,7:37,8:18,41,Buccinulum sp
467,CapeFoulwind,7:37,8:18,41,Paratrophon patens
415,Rakautara,21:08,21:49,41,Dicathais orbita
743,JacksonHead,16:41,17:22,41,Haustrum lacunosus
415,Rakautara,21:08,21:49,41,Haustrum haustorium
743,JacksonHead,16:41,17:22,41,Haustrum haustorium
712,CapeFoulwind,7:11,7:52,41,Paratrophon patens
739,JacksonHead,20:01,20:42,41,Haustrum scobina
415,Rakautara,21:08,21:49,41,Buccinulum sp
505,Rakautara,11:23,12:04,41,Haustrum scobina
467,CapeFoulwind,7:37,8:18,41,Haustrum haustorium
469,CapeFoulwind,8:23,9:04,41,Haustrum haustorium
722,JacksonHead,15:08,15:49,41,Haustrum haustorium
712,CapeFoulwind,7:11,7:52,41,Haustrum haustorium
469,CapeFoulwind,8:23,9:04,41,Buccinulum sp
643,Rakautara,10:45,11:26,41,Haustrum scobina
817,PaiaPoint,15:08,15:48,40,Haustrum lacunosus
781,Rakautara,19:17,19:57,40,Haustrum lacunosus
781,Rakautara,19:17,19:57,40,Haustrum haustorium
625,PaiaPoint,8:00,8:40,40,Cominella maculosa
636,PaiaPoint,10:49,11:29,40,Haustrum lacunosus
625,PaiaPoint,8:00,8:40,40,Haustrum lacunosus
793,JacksonHead,13:28,14:08,40,Haustrum haustorium
817,PaiaPoint,15:08,15:48,40,Haustrum haustorium
777,Rakautara,19:26,20:06,40,Haustrum haustorium
777,Rakautara,19:26,20:06,40,Dicathais orbita
625,PaiaPoint,8:00,8:40,40,Buccinulum sp
625,PaiaPoint,8:00,8:40,40,Haustrum haustorium
368,CapeFoulwind,17:50,18:30,40,Haustrum scobina
636,PaiaPoint,10:49,11:29,40,Haustrum haustorium
