ObsID,Predators.SpeciesName,PredSize,PreySize,IndexSpecies.SpeciesName,Site
37298,Haustrum haustorium,45,27,Cellana denticulata,PaiaPoint
21684,Haustrum haustorium,46,21,Cellana denticulata,Rakautara
16621,Haustrum haustorium,41,20,Cellana denticulata,Rakautara
24676,Haustrum haustorium,40,20,Cellana denticulata,Rakautara
36253,Haustrum haustorium,49,14,Cellana denticulata,Rakautara
48183,Haustrum haustorium,47,29,Cellana denticulata,Rakautara
36622,Haustrum haustorium,27,24,Cellana denticulata,Rakautara
36621,Haustrum haustorium,27,12,Cellana denticulata,Rakautara
30798,Haustrum haustorium,29,13,Cellana denticulata,Rakautara
30794,Haustrum haustorium,27,13,Cellana denticulata,Rakautara
45067,Haustrum haustorium,25,8,Cellana denticulata,Rakautara
45068,Haustrum haustorium,27,14,Cellana denticulata,Rakautara
12178,Haustrum haustorium,38,20,Cellana ornata,CapeFoulwind
27811,Haustrum haustorium,42,13,Cellana ornata,CapeFoulwind
19274,Haustrum haustorium,32,17,Cellana ornata,CapeFoulwind
19486,Haustrum haustorium,39,12,Cellana ornata,CapeFoulwind
19487,Haustrum haustorium,42,18,Cellana ornata,CapeFoulwind
37544,Haustrum haustorium,38,13,Cellana ornata,CapeFoulwind
37916,Haustrum haustorium,38,19,Cellana ornata,CapeFoulwind
37536,Haustrum haustorium,35,15,Cellana ornata,CapeFoulwind
37822,Haustrum haustorium,28,14,Cellana ornata,CapeFoulwind
37818,Haustrum haustorium,32,18,Cellana ornata,CapeFoulwind
37562,Haustrum haustorium,38,22,Cellana ornata,CapeFoulwind
37537,Haustrum haustorium,38,17,Cellana ornata,CapeFoulwind
37561,Haustrum haustorium,33,14,Cellana ornata,CapeFoulwind
37532,Haustrum haustorium,42,15,Cellana ornata,CapeFoulwind
37543,Haustrum haustorium,31,14,Cellana ornata,CapeFoulwind
37550,Haustrum haustorium,38,11,Cellana ornata,CapeFoulwind
37546,Haustrum haustorium,34,14,Cellana ornata,CapeFoulwind
37551,Haustrum haustorium,43,21,Cellana ornata,CapeFoulwind
37549,Haustrum haustorium,43,15,Cellana ornata,CapeFoulwind
37535,Haustrum haustorium,42,13,Cellana ornata,CapeFoulwind
37970,Haustrum haustorium,35,10,Cellana ornata,CapeFoulwind
37531,Haustrum haustorium,38,14,Cellana ornata,CapeFoulwind
37559,Haustrum haustorium,34,18,Cellana ornata,CapeFoulwind
39000,Haustrum haustorium,44,20,Cellana ornata,CapeFoulwind
37982,Haustrum haustorium,42,16,Cellana ornata,CapeFoulwind
37980,Haustrum haustorium,41,16,Cellana ornata,CapeFoulwind
29743,Haustrum haustorium,43,10,Cellana ornata,CapeFoulwind
38997,Haustrum haustorium,41,14,Cellana ornata,CapeFoulwind
38998,Haustrum haustorium,45,18,Cellana ornata,CapeFoulwind
38999,Haustrum haustorium,43,17,Cellana ornata,CapeFoulwind
29744,Haustrum haustorium,47,12,Cellana ornata,CapeFoulwind
5575,Haustrum haustorium,47,15,Cellana ornata,CharlestonJoyceBay
629,Haustrum haustorium,38,25,Cellana ornata,FirstBay
584,Haustrum haustorium,23,11,Cellana ornata,FirstBay
27234,Haustrum haustorium,38,12,Cellana ornata,JacksonHead
25775,Haustrum haustorium,35,12,Cellana ornata,JacksonHead
27199,Haustrum haustorium,38,10,Cellana ornata,JacksonHead
27197,Haustrum haustorium,36,13,Cellana ornata,JacksonHead
27195,Haustrum haustorium,35,13,Cellana ornata,JacksonHead
27232,Haustrum haustorium,36,13,Cellana ornata,JacksonHead
27122,Haustrum haustorium,36,13,Cellana ornata,JacksonHead
27030,Haustrum haustorium,42,11,Cellana ornata,JacksonHead
26284,Haustrum haustorium,41,14,Cellana ornata,JacksonHead
25729,Haustrum haustorium,46,26,Cellana ornata,JacksonHead
